object_name,path,root_id,authority,status,file_count,path_length,notes
OneDrive-drmarchands com,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com,library_onedrive,institutional_memory,authority_or_active,0,71,
02_CLIENTS,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/02_CLIENTS,library_onedrive,institutional_memory,authority_or_active,0,82,
Kindred_Stones,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/02_CLIENTS/Kindred_Stones,library_onedrive,institutional_memory,authority_or_active,4,97,
99_SYS,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS,library_onedrive,institutional_memory,authority_or_active,0,78,
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/logs,library_onedrive,institutional_memory,authority_or_active,0,83,
OS_Imports,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS_Imports,library_onedrive,institutional_memory,authority_or_active,1,89,
NFE,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE,library_onedrive,institutional_memory,authority_or_active,2,82,
bin,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/bin,library_onedrive,institutional_memory,authority_or_active,1,86,
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/logs,library_onedrive,institutional_memory,authority_or_active,0,87,
registry,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/registry,library_onedrive,institutional_memory,authority_or_active,23,91,
reports,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/reports,library_onedrive,institutional_memory,authority_or_active,2,90,
registry,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/registry,library_onedrive,institutional_memory,authority_or_active,0,87,
OS,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS,library_onedrive,institutional_memory,authority_or_active,0,81,
Recordings,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Recordings,library_onedrive,institutional_memory,authority_or_active,0,92,
Core,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Core,library_onedrive,institutional_memory,authority_or_active,1,86,
