status,reason,name,path,source_report
review,needs_manual_review,OneDrive-drmarchands com,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,02_CLIENTS,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/02_CLIENTS,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Kindred_Stones,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/02_CLIENTS/Kindred_Stones,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,99_SYS,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/logs,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,OS_Imports,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS_Imports,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,NFE,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,bin,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/bin,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/logs,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,registry,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/registry,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,reports,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/reports,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,registry,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/registry,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,OS,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Recordings,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Recordings,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Core,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Core,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Config,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Config,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Nodes,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Nodes,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Imports,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,DML_Workbench_Atlas_v4_8_8,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/DML_Workbench_Atlas_v4_8_8,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Recovery,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/Recovery,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,GoogleDrive_Migration,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/GoogleDrive_Migration,reports/authority_registry_20260615_223631.csv
no_mans_land,ghost_deleted_corrupt_or_lost,Google Drive (Not synced),/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/GoogleDrive_Migration/Google Drive (Not synced),reports/authority_registry_20260615_223631.csv
no_mans_land,ghost_deleted_corrupt_or_lost,Google Drive (Not synced) (1),/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/GoogleDrive_Migration/Google Drive (Not synced) (1),reports/authority_registry_20260615_223631.csv
review,needs_manual_review,DML_Workbench_Atlas_v4_8_7,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/DML_Workbench_Atlas_v4_8_7,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Upload_Cache,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/Upload_Cache,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Desktop_Unclassified,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Imports/Desktop_Unclassified,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Docs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Docs,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,System,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/System,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Manifest,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/System/Manifest,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Logs,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Desktop,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Logs/Desktop,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Users,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Users,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,drmarchandslab.com,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Users/drmarchandslab.com,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Scripts,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Scripts,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Meetings,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Meetings,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Attachments,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Attachments,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Legal,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Legal,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Risk_Review,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Legal/Risk_Review,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Modules,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Modules,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,09_BKIDX,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/09_BKIDX,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,01_ACTIVE,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/01_ACTIVE,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,05_LIB,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/05_LIB,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,00_INBOX,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/00_INBOX,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,06_KEJ,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/06_KEJ,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,04_LAB,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Domains,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/Domains,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Echo,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/Echo,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Core,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/Core,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Experiments,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/Experiments,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,BigBrother,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/BigBrother,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,DrMarchand’s ♾️ OS™,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,📂 ROOT.🌱,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/📂 ROOT.🌱,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,📂 ROOT,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/📂 ROOT.🌱/📂 ROOT,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,🌱,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/📂 ROOT.🌱/🌱,reports/authority_registry_20260615_223631.csv
review,needs_manual_review, Backup,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/ Backup,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,OneDrive,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/ Backup/OneDrive,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Recordings,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Recordings,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Core,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Core,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Config,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Config,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Nodes,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Nodes,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,System,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/System,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Manifest,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/System/Manifest,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Logs,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Scripts,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Scripts,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Meetings,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Meetings,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,drmarchands-com-microsoft-pack,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/drmarchands-com-microsoft-pack,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Attachments,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Attachments,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,Modules,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Modules,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4,reports/authority_registry_20260615_223631.csv
review,needs_manual_review,dml-workbench-atlas,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas,reports/authority_registry_20260615_223631.csv
