basename,path,authority,depth,file_count,path_length,quarantine,duplicate_group_count,authorities_seen,recommended_action
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/logs,business_system_authority,2,0,83,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/NFE/logs,business_system_authority,3,0,87,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/99_SYS/OS/Logs,business_system_authority,3,0,86,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/Logs,business_system_authority,3,0,103,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/archive-do-not-edit/logs,business_system_authority,6,0,199,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/atlas/logs,business_system_authority,6,0,185,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/Logs,business_system_authority,2,0,83,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchands com/04_LAB/Ops/DrMarchand’s ♾️ OS™/Logs,business_system_authority,4,0,107,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
logs,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Kejstudio/KEJ Studio™/© KEJ Studio/Adobe/Adobe Media Encoder/26.0/logs,creative_payload_authority,6,1,125,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
logs,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Kejstudio/KEJ Studio™/© KEJ Studio/Adobe/Adobe Media Encoder (Beta)/26.0/logs,creative_payload_authority,6,1,132,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,candidate_duplicate_review
Logs,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Personal/Design Orchard LLC/DrMarchand’s Laboratory/DrMarchand-OS/My Drive/drjkmarchand/Logs,legacy_personal_review,6,1,147,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,possible_replace_with_alias_after_verification
Logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/Logs,landing_bridge_shortcut_layer,3,0,116,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,possible_replace_with_alias_after_verification
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/archive-do-not-edit/logs,landing_bridge_shortcut_layer,6,0,212,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,possible_replace_with_alias_after_verification
logs,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/atlas/logs,landing_bridge_shortcut_layer,6,0,198,false,17,business_system_authority;creative_payload_authority;landing_bridge_shortcut_layer;legacy_personal_review,possible_replace_with_alias_after_verification
