priority_score,basename,path,authority,depth,file_count,path_length,quarantine,duplicate_group_count,authorities_seen,recommended_action,priority_score
9619,Camera Uploads,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Kejstudio/KEJ Studio™/Camera Uploads,creative_payload_authority,2,9619,91,false,5,creative_payload_authority;legacy_personal_review;local_unclassified,candidate_duplicate_review,9619
5214,Camera Uploads,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Personal/Camera Uploads,legacy_personal_review,1,5114,78,false,5,creative_payload_authority;legacy_personal_review;local_unclassified,possible_replace_with_alias_after_verification,5214
2797,Camera Uploads,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Personal/Archive/Downloads/🔬 Downloads/Camera Uploads,legacy_personal_review,4,2697,108,false,5,creative_payload_authority;legacy_personal_review;local_unclassified,possible_replace_with_alias_after_verification,2797
2697,Camera Uploads,/Users/drmarchandslab.com/Downloads/🔬 Downloads/Camera Uploads,local_unclassified,2,2697,62,false,5,creative_payload_authority;legacy_personal_review;local_unclassified,possible_replace_with_alias_after_verification,2697
1152,DrMarchandΓÇÖs Γê₧ OSΓäó ΓÜ¢∩╕Ä v4.8.7,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-Personal/∞ OS™.♾️/DrMarchand’s ∞ OS™ ~ v4.8.9/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/infinity-os/__MACOSX/DrMarchandΓÇÖs Γê₧ OSΓäó ΓÜ¢∩╕Ä v4.8.7,legacy_personal_review,6,2,224,false,2,legacy_personal_review,pirate_flag_long_path_review,1152
1054,google-personal-family,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/cloud-bridges/google-personal-family,landing_bridge_shortcut_layer,6,4,224,false,3,business_system_authority;landing_bridge_shortcut_layer;legacy_personal_review,pirate_flag_long_path_review,1054
1054,google-workspace-dml,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/cloud-bridges/google-workspace-dml,landing_bridge_shortcut_layer,6,4,222,false,3,business_system_authority;landing_bridge_shortcut_layer;legacy_personal_review,pirate_flag_long_path_review,1054
1054,onedrive-drmarchands,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/cloud-bridges/onedrive-drmarchands,landing_bridge_shortcut_layer,6,4,222,false,3,business_system_authority;landing_bridge_shortcut_layer;legacy_personal_review,pirate_flag_long_path_review,1054
1054,dropbox-design-orchard,/Users/drmarchandslab.com/Library/CloudStorage/OneDrive-drmarchandscom/🛰️ DrMarchand’s Lab™/DrMarchand’s ♾️ OS™/DrMarchands_Infinity_OS_DML_Workbench_Atlas_v4_8_7_v0_4/dml-workbench-atlas/cloud-bridges/dropbox-design-orchard,landing_bridge_shortcut_layer,6,4,224,false,3,business_system_authority;landing_bridge_shortcut_layer;legacy_personal_review,pirate_flag_long_path_review,1054
1050,CloudStorage,/Users/drmarchandslab.com/Library/CloudStorage/Dropbox-Kejstudio/KEJ Studio™/🎨 Creative Canvas/KEJ Studio™.📨/DesignOrchardLLC_KEJ_CreativeCanvas_FullSystemPack/DesignOrchardLLC_KEJ_Studio_CreativeGuild_Canvas/CloudStorage,creative_payload_authority,6,0,221,false,5,business_system_authority;creative_payload_authority,pirate_flag_long_path_review,1050
